Average finishing epoch per waiting person
7641.23
7254.86
7714.29
7099.28
7794.9
7177.64
7153.79
6929.88
6354.93
6559.34
5899.25
7029.63
6064.94
6197.81
6333.46
6388.19
6165.25
6170.29
6033.46
5095.2
5678.92
5063.66
5727.42
6280.39
5845.93
6125.94
5297.62
5353.31
6840.09
6405.63
5837.28
5558.99
6086.52
6450.9
6072.43
6386.84
6774.37
6208.94
6217.85
6220.82
5035.87
6187.45
5588.16
5340.57
5729.64
5264.35
6335.62
5887.3
4885.4
5581.4
5643.48
5807.42
5198.59
5250.25
4859.35
5660.53
5960.43
4891.42
5975.61
5088.68
5799.22
5633.4
4691.34
4967.64
6065.91
5700.94
5778.25
6127.86
5235.17
4710.78
